month,the,a,internet,weather,government
2003-12,0.0484526414505,0.0315723663645,0.000208398457851,0.0,0.000104199228926,
2003-10,0.0499476439791,0.030890052356,0.000942408376963,0.00020942408377,0.0,
2003-11,0.0463861920173,0.030303030303,0.000784544473865,0.0,0.000490340296166,
2001-10,0.05394560856,0.0305840392332,0.000891662951404,0.0,0.000267498885421,
2001-11,0.0558408215661,0.033162173727,0.00149764655541,0.0,0.0,
2001-12,0.0510942304214,0.0330077771749,0.00126605172726,0.0,0.00036172906493,
2010-01,0.0429197636745,0.02233657328,0.000571755288736,0.0,0.000800457404231,
2010-03,0.0431198273919,0.0218336392619,0.000933887225067,0.0,0.000386436093131,
2010-02,0.0400251879255,0.0211342437719,0.000590342004801,3.93561336534e-05,0.000432917470188,
2010-05,0.0414481536403,0.0242685088068,0.000868024160006,7.23353466671e-05,0.000397844406669,
2010-04,0.043583535109,0.0233283665487,0.000325945241199,4.65636058856e-05,0.000465636058856,
2010-07,0.0404300492388,0.0224962732078,0.00045173239373,0.0,0.00045173239373,
2010-06,0.0383865211437,0.0219529402,0.000622484126655,0.0,0.000580985184878,
2010-09,0.0390027531355,0.0202916284287,0.000509839910268,0.000101967982054,0.000458855919241,
2002-07,0.0500894454383,0.0304114490161,0.00125223613596,0.0,0.000715563506261,
2002-04,0.0498088599056,0.0321565100067,0.000674612098044,0.0,0.000112435349674,
2002-05,0.0560521611105,0.0281838258492,0.00126196235146,0.000105163529288,0.000105163529288,
2002-02,0.0492072170585,0.0297586503163,0.00148402718113,0.0,0.000468640162462,
2002-03,0.0494398190975,0.0362832768013,0.000513927433446,0.0,0.000205570973379,
2002-01,0.0512646281616,0.0316345790864,0.00105700264251,0.0,0.000377500943752,
2000-01,0.0,0.0,0.0,0.0,0.0,
2000-02,0.0515873015873,0.0555555555556,0.0,0.0,0.0,
2000-03,0.0548414738646,0.0368466152528,0.0,0.0,0.0,
2000-04,0.0496183206107,0.0343511450382,0.0,0.0,0.00381679389313,
2000-05,0.0384615384615,0.0384615384615,0.0,0.0,0.0,
2000-06,0.0494845360825,0.0515463917526,0.0,0.0,0.0,
2000-07,0.0395480225989,0.0414312617702,0.0,0.0,0.0,
2000-08,0.0295566502463,0.0394088669951,0.0,0.0,0.0,
2000-09,0.0551601423488,0.0338078291815,0.0,0.0,0.0,
2004-12,0.0487884563027,0.0280969234958,0.000326708412742,0.0,0.000108902804247,
2004-11,0.0506657789614,0.0290279627164,0.00113182423435,0.0,0.000199733688415,
2004-10,0.0520565185058,0.0303186316572,0.00120130427321,0.0,0.000400434757737,
2010-12,0.0364429474614,0.0253996300489,0.000469340990033,2.76082935314e-05,0.000579774164159,
2010-10,0.040676696848,0.0235210021104,0.000442507999183,0.0,0.000374429845463,
2010-11,0.0381418767459,0.0217608718143,0.000482808566403,6.89726523433e-05,0.000379349587888,
2004-04,0.0544460148713,0.029926872734,0.000860320776747,6.14514840533e-05,0.00036870890432,
2004-05,0.0539914948592,0.0312752328148,0.000538300048447,5.38300048447e-05,0.000215320019379,
2004-06,0.0514199924934,0.0309645940198,0.000500437883148,0.0,0.000375328412361,
2004-07,0.0509718039967,0.0326854640022,0.0006569942513,0.0,0.000437996167534,
2004-01,0.0460971112477,0.0350338045482,0.000691456668715,0.0,0.000307314074985,
2004-02,0.0497248624312,0.0326163081541,0.00100050025013,0.0,0.00040020010005,
2004-03,0.0488562552951,0.0309517085569,0.000282406099972,0.0,0.000112962439989,
2004-08,0.0526420638478,0.0311270481598,0.000249016385278,0.0,0.000348622939389,
2004-09,0.0526820944865,0.0318332089154,0.000426575663858,5.33219579823e-05,0.000213287831929,
2002-08,0.0525691230568,0.0337011985285,0.00154266049602,0.0,0.0,
2002-09,0.0495140530602,0.0363803519832,0.00144470711847,0.0,0.000394011032309,
2002-06,0.048494129658,0.0279904713289,0.00127616130679,0.0,0.000170154840905,
2010-08,0.0442855239195,0.0230533469551,0.000577444143384,4.44187802603e-05,0.000399769022343,
2007-09,0.0539036904247,0.0317116894356,0.000865426222415,0.0,0.000309080793719,
2007-08,0.0532317035385,0.0286298568507,0.000991510193964,6.19693871228e-05,0.000371816322737,
2006-11,0.0527806230042,0.0303066819305,0.000662770380189,6.02518527445e-05,0.0,
2003-03,0.0548302872063,0.0283604933826,0.00117043306023,0.0,9.00333123256e-05,
2006-12,0.0504398020891,0.0305799890049,0.000549752611325,6.87190764156e-05,0.000343595382078,
2007-01,0.0504539923243,0.0315454460358,0.00051483665637,4.68033323973e-05,0.000702049985959,
2007-03,0.0549197661401,0.0304142306257,0.00055977111581,0.000124393581291,0.000497574325165,
2007-02,0.0522077200778,0.0326575951125,0.00072202166065,0.0,0.000277700638711,
2007-05,0.0526661556991,0.031150771926,0.000602211759553,0.000164239570787,0.000437972188766,
2007-04,0.050550874919,0.0345843398339,0.000707005243622,0.0,0.000471336829081,
2007-07,0.0561314642479,0.030156673342,0.000647897278831,0.000117799505242,0.000294498763105,
2007-06,0.0514175876982,0.0304798517196,0.000686483146839,6.86483146839e-05,0.000411889888103,
2005-03,0.0510985987045,0.0307776978113,0.000719698573303,0.000169340840777,0.000254011261166,
2005-02,0.0506917200083,0.0319533347099,0.00082593433822,0.0,0.000309725376833,
2005-01,0.0510849056604,0.0283962264151,0.000235849056604,0.000141509433962,9.43396226415e-05,
2005-07,0.0535918588547,0.0319744685976,0.000481724573975,0.0,0.000120431143494,
2005-06,0.0532220427212,0.0311882965356,0.000359001974511,0.0,0.000269251480883,
2005-05,0.0539064110493,0.0295815295815,0.000412286126572,0.0,0.0,
2005-04,0.0536696565737,0.0318648099509,0.000545121165568,0.0,0.000644234104762,
2005-09,0.0503366131538,0.0310719834283,0.000569653029518,5.17866390471e-05,0.000569653029518,
2005-08,0.050052810703,0.0301607792513,0.000234714235418,0.0,0.000645464147401,
2001-03,0.0456118276187,0.0292544825417,0.00157282164203,0.0,0.0,
2001-02,0.055737704918,0.0251366120219,0.0,0.0,0.0016393442623,
2007-12,0.0529174117491,0.0310616597126,0.000463606861382,0.0,0.000794754619511,
2007-10,0.0524056923424,0.0299864468037,0.000621188163542,5.64716512311e-05,0.000225886604924,
2007-11,0.0526936444886,0.0323982125124,0.000868917576961,0.0,0.000496524329692,
2006-02,0.0523474490022,0.0329660604452,0.000486747201204,0.0,0.000176998982256,
2006-03,0.0490512159175,0.0332074428887,0.000829034635225,0.0,0.000368459837878,
2006-01,0.0530321333655,0.0295562535234,0.000442941129097,0.0,0.000563743255215,
2006-06,0.0531654424624,0.0321790835957,0.000655823714586,4.37215809724e-05,0.000349772647779,
2006-07,0.0490553710459,0.0292916643981,0.000980018511461,0.000108890945718,0.000653345674307,
2006-04,0.0510085111344,0.0323539699196,0.000349772647779,5.82954412965e-05,0.000233181765186,
2006-05,0.0524832500266,0.0323832819313,0.000638094225247,0.0,0.000478570668935,
2008-12,0.040725036112,0.0263268254042,0.000652346116211,0.0,0.000279576906947,
2006-08,0.0520706455542,0.0314149411287,0.000659764514819,0.0,0.000812017864393,
2006-09,0.0534255789373,0.0300278658595,0.000576535024503,4.80445853752e-05,0.000624579609878,
2005-10,0.0524714828897,0.032598225602,0.000557667934094,0.000101394169835,0.000304182509506,
2005-11,0.0502139060542,0.0318914480792,0.000734626852772,0.0,0.000345706754246,
2005-12,0.0533316986453,0.0300986942929,0.00134861766689,0.0,0.000122601606081,
2008-08,0.0439191457928,0.0271976361561,0.000537237257404,0.0,0.000402927943053,
2008-09,0.0414557120658,0.0252644242819,0.000250639129781,5.01278259562e-05,0.000200511303825,
2008-01,0.0513382226879,0.0323364129917,0.000380988665587,4.76235831984e-05,0.000238117915992,
2008-02,0.0561298076923,0.0286057692308,0.000540865384615,0.0,0.000961538461538,
2008-03,0.0480976639589,0.0295103033641,0.00045894717518,4.5894717518e-05,0.000367157740144,
2008-04,0.0434073268404,0.0301577099916,0.000593266426064,4.94388688387e-05,0.000148316606516,
2008-05,0.0451406519752,0.0295521478623,0.000710876409059,0.0,0.000609322636336,
2008-06,0.0472423928077,0.028137966805,0.00051867219917,4.32226832642e-05,0.000389004149378,
2008-07,0.0464690815953,0.0267105744603,0.000548847420417,0.0,0.000548847420417,
2011-01,0.0426308822858,0.0234606782601,0.000410790086266,9.12866858369e-05,0.000228216714592,
2008-11,0.0410227904391,0.0274596998332,0.000444691495275,5.55864369094e-05,0.000111172873819,
2008-10,0.0429012166017,0.0273007742011,0.000640316665696,0.0,0.000291053029862,
2009-07,0.0366957801452,0.0265540518924,0.000383914003263,9.59785008158e-05,0.000255942668842,
2009-06,0.0415009179927,0.0234470624235,0.000650244798042,0.0,0.000535495716034,
2009-05,0.0402624794938,0.0246543238809,0.000703070072651,0.0,0.000703070072651,
2009-04,0.0381581132702,0.0217987045341,0.000456734761667,0.0,0.000207606709849,
2009-03,0.0418533701973,0.0222614167223,0.000667365811803,0.0,0.000476689865573,
2009-02,0.0408690967858,0.0225534207219,0.000610522535464,0.0,0.000430957083857,
2009-01,0.0388950044556,0.0222257168318,0.00041935314777,0.0,0.000366934004298,
2009-09,0.0414057063326,0.0247477383438,0.000347947112039,0.0,0.000217466945024,
2009-08,0.0368530499076,0.0213146950092,0.000519870609982,0.0,0.000693160813309,
2003-05,0.0537695055462,0.0298928369994,0.000846023688663,9.40026320737e-05,9.40026320737e-05,
2003-04,0.0523867313916,0.0258899676375,0.000606796116505,0.0,0.000202265372168,
2003-07,0.049238259777,0.0329825663578,0.00102088895869,7.85299198995e-05,0.000235589759698,
2003-06,0.0476621417798,0.0365007541478,0.000452488687783,0.0,0.000377073906486,
2003-01,0.0522067535545,0.0295468009479,0.00125888625592,0.0,0.00051836492891,
2001-09,0.0582736054846,0.0289809909629,0.00207749039161,0.0,0.000415498078321,
2001-08,0.0513747398401,0.0346149633038,0.00186219739292,0.0,0.000657246138679,
2001-07,0.0456352963454,0.0323802310169,0.00246165498959,0.0,0.000189358076122,
2001-06,0.0544173300274,0.0337987733264,0.000652485971552,0.00013049719431,0.000391491582931,
2001-05,0.041797455807,0.0267635883033,0.000991244011234,0.000165207335206,0.000330414670411,
2001-04,0.0493803622498,0.0244041944709,0.00171591992374,0.0,0.000381315538608,
2003-09,0.0502828409805,0.0290024243513,0.0017958157493,0.00017958157493,0.000538744724791,
2003-08,0.045741989882,0.0286677908938,0.000843170320405,0.000105396290051,0.000421585160202,
2001-01,0.0509554140127,0.0281316348195,0.0,0.0,0.0,
2002-11,0.0511795671671,0.0288555273933,0.000682394228895,9.74848898421e-05,0.000682394228895,
2002-10,0.0529687350607,0.0328903336839,0.000573668610766,0.0,0.000669280045893,
2002-12,0.0482648583965,0.0296769046669,0.000717989629039,7.97766254487e-05,0.000319106501795,
2003-02,0.0518906776488,0.0295020591539,0.000898539872707,0.0,0.000374391613628,
2006-10,0.0523661555703,0.0303601446691,0.000662217920636,5.09398400489e-05,0.000356578880342,
2000-12,0.0587002096436,0.0293501048218,0.0,0.0,0.0,
2000-11,0.0546318289786,0.0285035629454,0.00712589073634,0.00237529691211,0.0,
2000-10,0.0542797494781,0.0375782881002,0.00417536534447,0.0,0.0,
2009-10,0.0441344808581,0.0245898164243,0.000381566116929,0.0,0.0002967736465,
2009-11,0.042162017347,0.024111717625,0.00073674692743,3.34884967014e-05,0.000267907973611,
2009-12,0.0396394695861,0.0236421122175,0.0005190882922,0.0,0.000990986739654,
